From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
O00139	O00139	reviewed	KIF2A_HUMAN	Kinesin-like protein KIF2A (Kinesin-2) (hK2)	KIF2A KIF2 KNS2	Homo sapiens (Human)	706
Q96NE9	Q96NE9	reviewed	FRMD6_HUMAN	FERM domain-containing protein 6 (Willin)	FRMD6 C14orf31	Homo sapiens (Human)	622
Q8IWA0	Q8IWA0	reviewed	WDR75_HUMAN	WD repeat-containing protein 75 (U3 small nucleolar RNA-associated protein 17 homolog)	WDR75 UTP17	Homo sapiens (Human)	830
O75643	O75643	reviewed	U520_HUMAN	U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Activating signal cointegrator 1 complex subunit 3-like 1) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD)	SNRNP200 ASCC3L1 HELIC2 KIAA0788	Homo sapiens (Human)	2136
P20936	P20936	reviewed	RASA1_HUMAN	Ras GTPase-activating protein 1 (GAP) (GTPase-activating protein) (RasGAP) (Ras p21 protein activator) (p120GAP)	RASA1 GAP RASA	Homo sapiens (Human)	1047
P42858	P42858	reviewed	HD_HUMAN	Huntingtin (Huntington disease protein) (HD protein) [Cleaved into: Huntingtin, myristoylated N-terminal fragment]	HTT HD IT15	Homo sapiens (Human)	3142
O95684	O95684	reviewed	CEP43_HUMAN	Centrosomal protein 43 (FGFR1 oncogene partner)	CEP43 FGFR1OP FOP	Homo sapiens (Human)	399
Q92504	Q92504	reviewed	S39A7_HUMAN	Zinc transporter SLC39A7 (Histidine-rich membrane protein Ke4) (Really interesting new gene 5 protein) (Solute carrier family 39 member 7) (Zrt-, Irt-like protein 7) (ZIP7)	SLC39A7 HKE4 RING5	Homo sapiens (Human)	469
Q15291	Q15291	reviewed	RBBP5_HUMAN	Retinoblastoma-binding protein 5 (RBBP-5) (Retinoblastoma-binding protein RBQ-3)	RBBP5 RBQ3	Homo sapiens (Human)	538
Q9NRL2	Q9NRL2	reviewed	BAZ1A_HUMAN	Bromodomain adjacent to zinc finger domain protein 1A (ATP-dependent chromatin-remodeling protein) (ATP-utilizing chromatin assembly and remodeling factor 1) (hACF1) (CHRAC subunit ACF1) (Williams syndrome transcription factor-related chromatin-remodeling factor 180) (WCRF180) (hWALp1)	BAZ1A ACF1 WCRF180 HSPC317	Homo sapiens (Human)	1556
Q8TD19	Q8TD19	reviewed	NEK9_HUMAN	Serine/threonine-protein kinase Nek9 (EC 2.7.11.1) (Nercc1 kinase) (Never in mitosis A-related kinase 9) (NimA-related protein kinase 9) (NimA-related kinase 8) (Nek8)	NEK9 KIAA1995 NEK8 NERCC	Homo sapiens (Human)	979
P16157	P16157	reviewed	ANK1_HUMAN	Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)	ANK1 ANK	Homo sapiens (Human)	1881
Q86T65	Q86T65	reviewed	DAAM2_HUMAN	Disheveled-associated activator of morphogenesis 2	DAAM2 KIAA0381	Homo sapiens (Human)	1068
Q9Y217	Q9Y217	reviewed	MTMR6_HUMAN	Myotubularin-related protein 6 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)	MTMR6	Homo sapiens (Human)	621
Q8IVL6	Q8IVL6	reviewed	P3H3_HUMAN	Prolyl 3-hydroxylase 3 (EC 1.14.11.7) (Leprecan-like protein 2) (Protein B)	P3H3 LEPREL2	Homo sapiens (Human)	736
Q01105	Q01105	reviewed	SET_HUMAN	Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase) (IGAAD) (PHAPII) (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)	SET	Homo sapiens (Human)	290
Q9BZV1	Q9BZV1	reviewed	UBXN6_HUMAN	UBX domain-containing protein 6 (UBX domain-containing protein 1)	UBXN6 UBXD1 UBXDC2	Homo sapiens (Human)	441
Q12873	Q12873	reviewed	CHD3_HUMAN	Chromodomain-helicase-DNA-binding protein 3 (CHD-3) (EC 3.6.4.12) (ATP-dependent helicase CHD3) (Mi-2 autoantigen 240 kDa protein) (Mi2-alpha) (Zinc finger helicase) (hZFH)	CHD3	Homo sapiens (Human)	2000
Q99543	Q99543	reviewed	DNJC2_HUMAN	DnaJ homolog subfamily C member 2 (M-phase phosphoprotein 11) (Zuotin-related factor 1) [Cleaved into: DnaJ homolog subfamily C member 2, N-terminally processed]	DNAJC2 MPHOSPH11 MPP11 ZRF1	Homo sapiens (Human)	621
O75683	O75683	reviewed	SURF6_HUMAN	Surfeit locus protein 6	SURF6 SURF-6	Homo sapiens (Human)	361
O95453	O95453	reviewed	PARN_HUMAN	Poly(A)-specific ribonuclease PARN (EC 3.1.13.4) (Deadenylating nuclease) (Deadenylation nuclease) (Polyadenylate-specific ribonuclease)	PARN DAN	Homo sapiens (Human)	639
O95628	O95628	reviewed	CNOT4_HUMAN	CCR4-NOT transcription complex subunit 4 (EC 2.3.2.27) (CCR4-associated factor 4) (E3 ubiquitin-protein ligase CNOT4) (Potential transcriptional repressor NOT4Hp) (RING-type E3 ubiquitin transferase CNOT4)	CNOT4 NOT4	Homo sapiens (Human)	575
Q9Y266	Q9Y266	reviewed	NUDC_HUMAN	Nuclear migration protein nudC (Nuclear distribution protein C homolog)	NUDC	Homo sapiens (Human)	331
Q01484	Q01484	reviewed	ANK2_HUMAN	Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin)	ANK2 ANKB	Homo sapiens (Human)	3957
Q96EE3	Q96EE3	reviewed	SEH1_HUMAN	Nucleoporin SEH1 (GATOR complex protein SEH1) (Nup107-160 subcomplex subunit SEH1) (SEC13-like protein)	SEH1L SEC13L SEH1	Homo sapiens (Human)	360
Q04656	Q04656	reviewed	ATP7A_HUMAN	Copper-transporting ATPase 1 (EC 7.2.2.8) (Copper pump 1) (Menkes disease-associated protein)	ATP7A MC1 MNK	Homo sapiens (Human)	1500
P53999	P53999	reviewed	TCP4_HUMAN	Activated RNA polymerase II transcriptional coactivator p15 (Positive cofactor 4) (PC4) (SUB1 homolog) (p14)	SUB1 PC4 RPO2TC1	Homo sapiens (Human)	127
O43765	O43765	reviewed	SGTA_HUMAN	Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT) (Vpu-binding protein) (UBP)	SGTA SGT SGT1	Homo sapiens (Human)	313
Q9Y4F5	Q9Y4F5	reviewed	C170B_HUMAN	Centrosomal protein of 170 kDa protein B (Centrosomal protein 170B) (Cep170B)	CEP170B FAM68C KIAA0284	Homo sapiens (Human)	1589
O75781	O75781	reviewed	PALM_HUMAN	Paralemmin-1 (Paralemmin)	PALM KIAA0270	Homo sapiens (Human)	387
P14209	P14209	reviewed	CD99_HUMAN	CD99 antigen (12E7) (E2 antigen) (Protein MIC2) (T-cell surface glycoprotein E2) (CD antigen CD99)	CD99 MIC2 MIC2X MIC2Y	Homo sapiens (Human)	185
Q9HAU5	Q9HAU5	reviewed	RENT2_HUMAN	Regulator of nonsense transcripts 2 (Up-frameshift suppressor 2 homolog) (hUpf2)	UPF2 KIAA1408 RENT2	Homo sapiens (Human)	1272
P53671	P53671	reviewed	LIMK2_HUMAN	LIM domain kinase 2 (LIMK-2) (EC 2.7.11.1)	LIMK2	Homo sapiens (Human)	638
Q9UN37	Q9UN37	reviewed	VPS4A_HUMAN	Vacuolar protein sorting-associated protein 4A (EC 3.6.4.6) (Protein SKD2) (VPS4-1) (hVPS4)	VPS4A VPS4	Homo sapiens (Human)	437
Q8TEQ6	Q8TEQ6	reviewed	GEMI5_HUMAN	Gem-associated protein 5 (Gemin5)	GEMIN5	Homo sapiens (Human)	1508
Q9P260	Q9P260	reviewed	RELCH_HUMAN	RAB11-binding protein RELCH (LisH domain and HEAT repeat-containing protein KIAA1468) (RAB11 binding and LisH domain, coiled-coil and HEAT repeat-containing) (RAB11-binding protein containing LisH, coiled-coil, and HEAT repeats)	RELCH KIAA1468	Homo sapiens (Human)	1216
P21359	P21359	reviewed	NF1_HUMAN	Neurofibromin (Neurofibromatosis-related protein NF-1) [Cleaved into: Neurofibromin truncated]	NF1	Homo sapiens (Human)	2839
P23193	P23193	reviewed	TCEA1_HUMAN	Transcription elongation factor A protein 1 (Transcription elongation factor S-II protein 1) (Transcription elongation factor TFIIS.o)	TCEA1 GTF2S TFIIS	Homo sapiens (Human)	301
O75363	O75363	reviewed	BCAS1_HUMAN	Breast carcinoma-amplified sequence 1 (Amplified and overexpressed in breast cancer) (Novel amplified in breast cancer 1)	BCAS1 AIBC1 NABC1	Homo sapiens (Human)	584
P28715	P28715	reviewed	ERCC5_HUMAN	DNA excision repair protein ERCC-5 (EC 3.1.-.-) (DNA repair protein complementing XP-G cells) (Xeroderma pigmentosum group G-complementing protein)	ERCC5 ERCM2 XPG XPGC	Homo sapiens (Human)	1186
Q9H2Y7	Q9H2Y7	reviewed	ZN106_HUMAN	Zinc finger protein 106 (Zfp-106) (Zinc finger protein 474)	ZNF106 SH3BP3 ZFP106 ZNF474	Homo sapiens (Human)	1883
Q6Y7W6	Q6Y7W6	reviewed	GGYF2_HUMAN	GRB10-interacting GYF protein 2 (PERQ amino acid-rich with GYF domain-containing protein 2) (Trinucleotide repeat-containing gene 15 protein)	GIGYF2 KIAA0642 PERQ2 TNRC15	Homo sapiens (Human)	1299
Q9Y613	Q9Y613	reviewed	FHOD1_HUMAN	FH1/FH2 domain-containing protein 1 (Formin homolog overexpressed in spleen 1) (FHOS) (Formin homology 2 domain-containing protein 1)	FHOD1 FHOS FHOS1	Homo sapiens (Human)	1164
Q53TN4	Q53TN4	reviewed	CYBR1_HUMAN	Plasma membrane ascorbate-dependent reductase CYBRD1 (EC 7.2.1.3) (Cytochrome b reductase 1) (Duodenal cytochrome b) (Ferric-chelate reductase 3)	CYBRD1 DCYTB FRRS3	Homo sapiens (Human)	286
Q96RU2	Q96RU2	reviewed	UBP28_HUMAN	Ubiquitin carboxyl-terminal hydrolase 28 (EC 3.4.19.12) (Deubiquitinating enzyme 28) (Ubiquitin thioesterase 28) (Ubiquitin-specific-processing protease 28)	USP28 KIAA1515	Homo sapiens (Human)	1077
P30622	P30622	reviewed	CLIP1_HUMAN	CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 1) (Cytoplasmic linker protein 170 alpha-2) (CLIP-170) (Reed-Sternberg intermediate filament-associated protein) (Restin)	CLIP1 CYLN1 RSN	Homo sapiens (Human)	1438
Q92913	Q92913	reviewed	FGF13_HUMAN	Fibroblast growth factor 13 (FGF-13) (Fibroblast growth factor homologous factor 2) (FHF-2)	FGF13 FHF2	Homo sapiens (Human)	245
A0FGR8	A0FGR8	reviewed	ESYT2_HUMAN	Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)	ESYT2 FAM62B KIAA1228	Homo sapiens (Human)	921
Q8NEL9	Q8NEL9	reviewed	DDHD1_HUMAN	Phospholipase DDHD1 (EC 3.1.1.-) (DDHD domain-containing protein 1) (Phosphatidic acid-preferring phospholipase A1 homolog) (PA-PLA1)	DDHD1 KIAA1705	Homo sapiens (Human)	900
P54105	P54105	reviewed	ICLN_HUMAN	Methylosome subunit pICln (Chloride channel, nucleotide sensitive 1A) (Chloride conductance regulatory protein ICln) (I(Cln)) (Chloride ion current inducer protein) (ClCI) (Reticulocyte pICln)	CLNS1A CLCI ICLN	Homo sapiens (Human)	237
Q5TC84	Q5TC84	reviewed	OGRL1_HUMAN	Opioid growth factor receptor-like protein 1	OGFRL1	Homo sapiens (Human)	451
Q6P0Q8	Q6P0Q8	reviewed	MAST2_HUMAN	Microtubule-associated serine/threonine-protein kinase 2 (EC 2.7.11.1)	MAST2 KIAA0807 MAST205	Homo sapiens (Human)	1798
Q9NP74	Q9NP74	reviewed	PALMD_HUMAN	Palmdelphin (Paralemmin-like protein)	PALMD C1orf11 PALML	Homo sapiens (Human)	551
P50443	P50443	reviewed	S26A2_HUMAN	Sulfate transporter (Diastrophic dysplasia protein) (Solute carrier family 26 member 2)	SLC26A2 DTD DTDST	Homo sapiens (Human)	739
Q9H8W5	Q9H8W5	reviewed	TRI45_HUMAN	Tripartite motif-containing protein 45 (RING finger protein 99)	TRIM45 RNF99	Homo sapiens (Human)	580
Q13107	Q13107	reviewed	UBP4_HUMAN	Ubiquitin carboxyl-terminal hydrolase 4 (EC 3.4.19.12) (Deubiquitinating enzyme 4) (Ubiquitin thioesterase 4) (Ubiquitin-specific-processing protease 4) (Ubiquitous nuclear protein homolog)	USP4 UNP UNPH	Homo sapiens (Human)	963
P06732	P06732	reviewed	KCRM_HUMAN	Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (Creatine phosphokinase M-type) (CPK-M) (M-CK)	CKM CKMM	Homo sapiens (Human)	381
Q8NEZ4	Q8NEZ4	reviewed	KMT2C_HUMAN	Histone-lysine N-methyltransferase 2C (Lysine N-methyltransferase 2C) (EC 2.1.1.364) (Homologous to ALR protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 3)	KMT2C HALR KIAA1506 MLL3	Homo sapiens (Human)	4911
Q92692	Q92692	reviewed	NECT2_HUMAN	Nectin-2 (Herpes virus entry mediator B) (Herpesvirus entry mediator B) (HveB) (Nectin cell adhesion molecule 2) (Poliovirus receptor-related protein 2) (CD antigen CD112)	NECTIN2 HVEB PRR2 PVRL2	Homo sapiens (Human)	538
Q5JRA6	Q5JRA6	reviewed	TGO1_HUMAN	Transport and Golgi organization protein 1 homolog (TANGO1) (C219-reactive peptide) (D320) (Melanoma inhibitory activity protein 3)	MIA3 KIAA0268 TANGO UNQ6077/PRO20088	Homo sapiens (Human)	1907
Q9C073	Q9C073	reviewed	F117A_HUMAN	Protein FAM117A (C/EBP-induced protein)	FAM117A	Homo sapiens (Human)	453
Q9UDY2	Q9UDY2	reviewed	ZO2_HUMAN	Tight junction protein ZO-2 (Tight junction protein 2) (Zona occludens protein 2) (Zonula occludens protein 2)	TJP2 X104 ZO2	Homo sapiens (Human)	1190
Q9UPT6	Q9UPT6	reviewed	JIP3_HUMAN	C-Jun-amino-terminal kinase-interacting protein 3 (JIP-3) (JNK-interacting protein 3) (JNK MAP kinase scaffold protein 3) (Mitogen-activated protein kinase 8-interacting protein 3)	MAPK8IP3 JIP3 KIAA1066	Homo sapiens (Human)	1336
Q15678	Q15678	reviewed	PTN14_HUMAN	Tyrosine-protein phosphatase non-receptor type 14 (EC 3.1.3.48) (Protein-tyrosine phosphatase pez)	PTPN14 PEZ PTPD2	Homo sapiens (Human)	1187
Q9Y3L3	Q9Y3L3	reviewed	3BP1_HUMAN	SH3 domain-binding protein 1	SH3BP1	Homo sapiens (Human)	701
P19022	P19022	reviewed	CADH2_HUMAN	Cadherin-2 (CDw325) (Neural cadherin) (N-cadherin) (CD antigen CD325)	CDH2 CDHN NCAD	Homo sapiens (Human)	906
Q9NYF0	Q9NYF0	reviewed	DACT1_HUMAN	Dapper homolog 1 (hDPR1) (Dapper antagonist of catenin 1) (Hepatocellular carcinoma novel gene 3 protein)	DACT1 DPR1 HNG3	Homo sapiens (Human)	836
Q96TC7	Q96TC7	reviewed	RMD3_HUMAN	Regulator of microtubule dynamics protein 3 (RMD-3) (hRMD-3) (Cerebral protein 10) (Protein FAM82A2) (Protein FAM82C) (Protein tyrosine phosphatase-interacting protein 51) (TCPTP-interacting protein 51)	RMDN3 FAM82A2 FAM82C PTPIP51 hucep-10 UNQ3122/PRO10274	Homo sapiens (Human)	470
O43303	O43303	reviewed	CP110_HUMAN	Centriolar coiled-coil protein of 110 kDa (Centrosomal protein of 110 kDa) (CP110) (Cep110)	CCP110 CEP110 CP110 KIAA0419	Homo sapiens (Human)	1012
O95218	O95218	reviewed	ZRAB2_HUMAN	Zinc finger Ran-binding domain-containing protein 2 (Zinc finger protein 265) (Zinc finger, splicing)	ZRANB2 ZIS ZNF265	Homo sapiens (Human)	330
Q8IUG5	Q8IUG5	reviewed	MY18B_HUMAN	Unconventional myosin-XVIIIb	MYO18B	Homo sapiens (Human)	2567
Q86W56	Q86W56	reviewed	PARG_HUMAN	Poly(ADP-ribose) glycohydrolase (EC 3.2.1.143)	PARG	Homo sapiens (Human)	976
Q9BW71	Q9BW71	reviewed	HIRP3_HUMAN	HIRA-interacting protein 3	HIRIP3	Homo sapiens (Human)	556
O14976	O14976	reviewed	GAK_HUMAN	Cyclin-G-associated kinase (EC 2.7.11.1)	GAK	Homo sapiens (Human)	1311
Q96QT4	Q96QT4	reviewed	TRPM7_HUMAN	Transient receptor potential cation channel subfamily M member 7 (EC 2.7.11.1) (Channel-kinase 1) (Long transient receptor potential channel 7) (LTrpC-7) (LTrpC7)	TRPM7 CHAK1 LTRPC7	Homo sapiens (Human)	1865
Q86SQ7	Q86SQ7	reviewed	SDCG8_HUMAN	Serologically defined colon cancer antigen 8 (Antigen NY-CO-8) (Centrosomal colon cancer autoantigen protein) (hCCCAP)	SDCCAG8 CCCAP NPHP10 HSPC085	Homo sapiens (Human)	713
O75528	O75528	reviewed	TADA3_HUMAN	Transcriptional adapter 3 (ADA3 homolog) (hADA3) (STAF54) (Transcriptional adapter 3-like) (ADA3-like protein)	TADA3 ADA3 TADA3L	Homo sapiens (Human)	432
P23443	P23443	reviewed	KS6B1_HUMAN	Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (Serine/threonine-protein kinase 14A) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA)	RPS6KB1 STK14A	Homo sapiens (Human)	525
Q8N1I0	Q8N1I0	reviewed	DOCK4_HUMAN	Dedicator of cytokinesis protein 4	DOCK4 KIAA0716	Homo sapiens (Human)	1966
Q9Y5B9	Q9Y5B9	reviewed	SP16H_HUMAN	FACT complex subunit SPT16 (Chromatin-specific transcription elongation factor 140 kDa subunit) (FACT 140 kDa subunit) (FACTp140) (Facilitates chromatin transcription complex subunit SPT16) (hSPT16)	SUPT16H FACT140 FACTP140	Homo sapiens (Human)	1047
P25788	P25788	reviewed	PSA3_HUMAN	Proteasome subunit alpha type-3 (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8)	PSMA3 HC8 PSC8	Homo sapiens (Human)	255
Q9H992	Q9H992	reviewed	MARH7_HUMAN	E3 ubiquitin-protein ligase MARCHF7 (EC 2.3.2.27) (Axotrophin) (Membrane-associated RING finger protein 7) (Membrane-associated RING-CH protein VII) (MARCH-VII) (RING finger protein 177) (RING-type E3 ubiquitin transferase MARCHF7)	MARCHF7 AXOT MARCH7 RNF177	Homo sapiens (Human)	704
Q9UKA4	Q9UKA4	reviewed	AKA11_HUMAN	A-kinase anchor protein 11 (AKAP-11) (A-kinase anchor protein 220 kDa) (AKAP 220) (hAKAP220) (Protein kinase A-anchoring protein 11) (PRKA11)	AKAP11 AKAP220 KIAA0629	Homo sapiens (Human)	1901
Q9H1K0	Q9H1K0	reviewed	RBNS5_HUMAN	Rabenosyn-5 (110 kDa protein) (FYVE finger-containing Rab5 effector protein rabenosyn-5) (RAB effector RBSN) (Zinc finger FYVE domain-containing protein 20)	RBSN ZFYVE20	Homo sapiens (Human)	784
Q58FG0	Q58FG0	reviewed	HS905_HUMAN	Putative heat shock protein HSP 90-alpha A5 (Heat shock protein 90-alpha E) (Heat shock protein 90Ae)	HSP90AA5P HSP90AE	Homo sapiens (Human)	334
Q02040	Q02040	reviewed	AK17A_HUMAN	A-kinase anchor protein 17A (AKAP-17A) (721P) (B-lymphocyte antigen) (Protein XE7) (Protein kinase A-anchoring protein 17A) (PRKA17A) (Splicing factor, arginine/serine-rich 17A)	AKAP17A CXYorf3 DXYS155E SFRS17A XE7	Homo sapiens (Human)	695
Q8TDZ2	Q8TDZ2	reviewed	MICA1_HUMAN	[F-actin]-monooxygenase MICAL1 (EC 1.14.13.225) (EC 1.6.3.1) (Molecule interacting with CasL protein 1) (MICAL-1) (NEDD9-interacting protein with calponin homology and LIM domains)	MICAL1 MICAL NICAL	Homo sapiens (Human)	1067
Q8N108	Q8N108	reviewed	MIER1_HUMAN	Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1) (hMi-er1)	MIER1 KIAA1610	Homo sapiens (Human)	512
Q5T0F9	Q5T0F9	reviewed	C2D1B_HUMAN	Coiled-coil and C2 domain-containing protein 1B (Five prime repressor element under dual repression-binding protein 2) (FRE under dual repression-binding protein 2) (Freud-2)	CC2D1B KIAA1836	Homo sapiens (Human)	858
Q5SY16	Q5SY16	reviewed	NOL9_HUMAN	Polynucleotide 5'-hydroxyl-kinase NOL9 (EC 2.7.1.-) (Nucleolar protein 9)	NOL9	Homo sapiens (Human)	702
Q9NQS3	Q9NQS3	reviewed	NECT3_HUMAN	Nectin-3 (CDw113) (Nectin cell adhesion molecule 3) (Poliovirus receptor-related protein 3) (CD antigen CD113)	NECTIN3 PRR3 PVRL3	Homo sapiens (Human)	549
Q7Z401	Q7Z401	reviewed	MYCPP_HUMAN	C-myc promoter-binding protein (DENN domain-containing protein 4A)	DENND4A IRLB MYCPBP	Homo sapiens (Human)	1863
Q13554	Q13554	reviewed	KCC2B_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta) (EC 2.7.11.17)	CAMK2B CAM2 CAMK2 CAMKB	Homo sapiens (Human)	666
P16070	P16070	reviewed	CD44_HUMAN	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	CD44 LHR MDU2 MDU3 MIC4	Homo sapiens (Human)	742
Q9Y450	Q9Y450	reviewed	HBS1L_HUMAN	HBS1-like protein (ERFS)	HBS1L HBS1 KIAA1038	Homo sapiens (Human)	684
Q01082	Q01082	reviewed	SPTB2_HUMAN	Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)	SPTBN1 SPTB2	Homo sapiens (Human)	2364
Q14693	Q14693	reviewed	LPIN1_HUMAN	Phosphatidate phosphatase LPIN1 (EC 3.1.3.4) (Lipin-1)	LPIN1 KIAA0188	Homo sapiens (Human)	890
O94854	O94854	reviewed	K0754_HUMAN	Microtubule-actin cross-linking factor 1, isoforms 6/7 (Uncharacterized protein KIAA0754)	MACF1 KIAA0754	Homo sapiens (Human)	3515
Q9UBH6	Q9UBH6	reviewed	XPR1_HUMAN	Xenotropic and polytropic retrovirus receptor 1 (Protein SYG1 homolog) (Xenotropic and polytropic murine leukemia virus receptor X3) (X-receptor)	XPR1 SYG1 XR	Homo sapiens (Human)	696
P62987	P62987	reviewed	RL40_HUMAN	Ubiquitin-60S ribosomal protein L40 (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (Large ribosomal subunit protein eL40)]	UBA52 UBCEP2	Homo sapiens (Human)	128
Q13127	Q13127	reviewed	REST_HUMAN	RE1-silencing transcription factor (Neural-restrictive silencer factor) (X2 box repressor)	REST NRSF XBR	Homo sapiens (Human)	1097
Q6PKG0	Q6PKG0	reviewed	LARP1_HUMAN	La-related protein 1 (La ribonucleoprotein domain family member 1)	LARP1 KIAA0731 LARP	Homo sapiens (Human)	1096
P84157	P84157	reviewed	MXRA7_HUMAN	Matrix-remodeling-associated protein 7	MXRA7	Homo sapiens (Human)	204
Q15424	Q15424	reviewed	SAFB1_HUMAN	Scaffold attachment factor B1 (SAF-B) (SAF-B1) (HSP27 estrogen response element-TATA box-binding protein) (HSP27 ERE-TATA-binding protein)	SAFB HAP HET SAFB1	Homo sapiens (Human)	915
Q8NHP6	Q8NHP6	reviewed	MSPD2_HUMAN	Motile sperm domain-containing protein 2	MOSPD2	Homo sapiens (Human)	518
Q9BQA1	Q9BQA1	reviewed	MEP50_HUMAN	Methylosome protein 50 (MEP-50) (Androgen receptor cofactor p44) (WD repeat-containing protein 77) (p44/Mep50)	WDR77 MEP50 WD45 HKMT1069 Nbla10071	Homo sapiens (Human)	342
P19634	P19634	reviewed	SL9A1_HUMAN	Sodium/hydrogen exchanger 1 (APNH) (Na(+)/H(+) antiporter, amiloride-sensitive) (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)	SLC9A1 APNH1 NHE1	Homo sapiens (Human)	815
P49137	P49137	reviewed	MAPK2_HUMAN	MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1)	MAPKAPK2	Homo sapiens (Human)	400
Q9UPN6	Q9UPN6	reviewed	SCAF8_HUMAN	SR-related and CTD-associated factor 8 (CDC5L complex-associated protein 7) (RNA-binding motif protein 16)	SCAF8 CCAP7 KIAA1116 RBM16	Homo sapiens (Human)	1271
Q96K76	Q96K76	reviewed	UBP47_HUMAN	Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47)	USP47	Homo sapiens (Human)	1375
Q8IVF7	Q8IVF7	reviewed	FMNL3_HUMAN	Formin-like protein 3 (Formin homology 2 domain-containing protein 3) (WW domain-binding protein 3) (WBP-3)	FMNL3 FHOD3 FRL2 KIAA2014 WBP3	Homo sapiens (Human)	1028
Q16666	Q16666	reviewed	IF16_HUMAN	Gamma-interferon-inducible protein 16 (Ifi-16) (Interferon-inducible myeloid differentiation transcriptional activator)	IFI16 IFNGIP1	Homo sapiens (Human)	785
Q13501	Q13501	reviewed	SQSTM_HUMAN	Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62)	SQSTM1 ORCA OSIL	Homo sapiens (Human)	440
Q9P287	Q9P287	reviewed	BCCIP_HUMAN	BRCA2 and CDKN1A-interacting protein (P21- and CDK-associated protein 1) (Protein TOK-1)	BCCIP TOK1	Homo sapiens (Human)	314
Q9NQX3	Q9NQX3	reviewed	GEPH_HUMAN	Gephyrin [Includes: Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G); Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E)]	GPHN GPH KIAA1385	Homo sapiens (Human)	736
Q9Y3P9	Q9Y3P9	reviewed	RBGP1_HUMAN	Rab GTPase-activating protein 1 (GAP and centrosome-associated protein) (Rab6 GTPase-activating protein GAPCenA)	RABGAP1 HSPC094	Homo sapiens (Human)	1069
Q96MF2	Q96MF2	reviewed	STAC3_HUMAN	SH3 and cysteine-rich domain-containing protein 3	STAC3	Homo sapiens (Human)	364
O95922	O95922	reviewed	TTLL1_HUMAN	Polyglutamylase complex subunit TTLL1 (EC 6.3.2.-) (Tubulin polyglutamylase TTLL1) (Tubulin polyglutamylase complex subunit 3) (PGs3) (Tubulin--tyrosine ligase-like protein 1)	TTLL1 C22orf7	Homo sapiens (Human)	423
Q9H6X2	Q9H6X2	reviewed	ANTR1_HUMAN	Anthrax toxin receptor 1 (Tumor endothelial marker 8)	ANTXR1 ATR TEM8	Homo sapiens (Human)	564
